Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
82;0,2355;A AC;19.01.22 8:02:50,1;0:00:00,4;19.01.22 8:02:50,2;0,2529;A AC;0,2438;A AC;19.01.22 8:02:50,1;0,2355;A AC;Interval;19.01.22 8:02:50,5
83;0,2354;A AC;19.01.22 8:02:50,5;0:00:00,6;19.01.22 8:02:51,0;0,3305;A AC;0,248583333333333;A AC;19.01.22 8:02:50,7;0,224;A AC;Unstable;19.01.22 8:02:51,1
84;0,3721;A AC;19.01.22 8:02:51,1;0:00:01,7;19.01.22 8:02:51,4;0,3892;A AC;0,386047058823529;A AC;19.01.22 8:02:51,1;0,3721;A AC;Stable;19.01.22 8:02:52,8
85;0,2826;A AC;19.01.22 8:02:52,8;0:00:02,3;19.01.22 8:02:52,8;0,2826;A AC;0,225604347826087;A AC;19.01.22 8:02:53,1;0,1455;A AC;Unstable;19.01.22 8:02:55,1
86;0,2304;A AC;19.01.22 8:02:55,1;0:00:00,3;19.01.22 8:02:55,1;0,2304;A AC;0,225666666666667;A AC;19.01.22 8:02:55,4;0,221;A AC;Interval;19.01.22 8:02:55,5
87;0,2318;A AC;19.01.22 8:02:55,5;0:00:00,2;19.01.22 8:02:55,6;0,3067;A AC;0,26925;A AC;19.01.22 8:02:55,5;0,2318;A AC;Unstable;19.01.22 8:02:55,7
88;0,3662;A AC;19.01.22 8:02:55,7;0:00:01,9;19.01.22 8:02:56,8;0,3902;A AC;0,385231578947368;A AC;19.01.22 8:02:55,7;0,3662;A AC;Stable;19.01.22 8:02:57,6
89;0,2729;A AC;19.01.22 8:02:57,6;0:00:02,7;19.01.22 8:03:00,2;0,2923;A AC;0,230974074074074;A AC;19.01.22 8:02:57,9;0,1499;A AC;Unstable;19.01.22 8:03:00,3
90;0,3633;A AC;19.01.22 8:03:00,3;0:00:00,2;19.01.22 8:03:00,4;0,3811;A AC;0,3722;A AC;19.01.22 8:03:00,3;0,3633;A AC;Interval;19.01.22 8:03:00,5
91;0,3846;A AC;19.01.22 8:03:00,5;0:00:01,7;19.01.22 8:03:01,2;0,3898;A AC;0,387876470588235;A AC;19.01.22 8:03:00,9;0,3832;A AC;Stable;19.01.22 8:03:02,2
92;0,3113;A AC;19.01.22 8:03:02,2;0:00:02,8;19.01.22 8:03:04,9;0,3127;A AC;0,233485714285714;A AC;19.01.22 8:03:02,5;0,148;A AC;Unstable;19.01.22 8:03:05,0
93;0,3696;A AC;19.01.22 8:03:05,0;0:00:00,5;19.01.22 8:03:05,3;0,39;A AC;0,3836;A AC;19.01.22 8:03:05,0;0,3696;A AC;Interval;19.01.22 8:03:05,5
94;0,3883;A AC;19.01.22 8:03:05,5;0:00:01,5;19.01.22 8:03:06,5;0,3906;A AC;0,387366666666667;A AC;19.01.22 8:03:06,9;0,3814;A AC;Stable;19.01.22 8:03:07,0
95;0,2786;A AC;19.01.22 8:03:07,0;0:00:02,8;19.01.22 8:03:09,7;0,3359;A AC;0,233528571428571;A AC;19.01.22 8:03:07,3;0,1474;A AC;Unstable;19.01.22 8:03:09,8
96;0,3764;A AC;19.01.22 8:03:09,8;0:00:00,6;19.01.22 8:03:10,0;0,3903;A AC;0,3857;A AC;19.01.22 8:03:09,8;0,3764;A AC;Interval;19.01.22 8:03:10,4
97;0,3912;A AC;19.01.22 8:03:10,4;0:00:01,2;19.01.22 8:03:10,8;0,3913;A AC;0,389333333333333;A AC;19.01.22 8:03:10,9;0,3848;A AC;Stable;19.01.22 8:03:11,6
98;0,3702;A AC;19.01.22 8:03:11,6;0:00:02,9;19.01.22 8:03:11,6;0,3702;A AC;0,23471724137931;A AC;19.01.22 8:03:12,0;0,1502;A AC;Unstable;19.01.22 8:03:14,6
99;0,3703;A AC;19.01.22 8:03:14,6;0:00:00,9;19.01.22 8:03:14,9;0,389;A AC;0,385322222222222;A AC;19.01.22 8:03:14,6;0,3703;A AC;Interval;19.01.22 8:03:15,5
100;0,3849;A AC;19.01.22 8:03:15,5;0:00:04,7;19.01.22 8:03:19,8;0,3903;A AC;0,295429787234043;A AC;19.01.22 8:03:16,7;0,152;A AC;Unstable;19.01.22 8:03:20,2
101;0,3919;A AC;19.01.22 8:03:20,2;0:00:00,3;19.01.22 8:03:20,2;0,3919;A AC;0,389133333333333;A AC;19.01.22 8:03:20,3;0,3863;A AC;Interval;19.01.22 8:03:20,5
102;0,3898;A AC;19.01.22 8:03:20,5;0:00:03,4;19.01.22 8:03:20,6;0,3902;A AC;0,261755882352941;A AC;19.01.22 8:03:21,4;0,1497;A AC;Unstable;19.01.22 8:03:23,9
103;0,3805;A AC;19.01.22 8:03:23,9;0:00:01,6;19.01.22 8:03:25,0;0,391;A AC;0,38815625;A AC;19.01.22 8:03:23,9;0,3805;A AC;Interval;19.01.22 8:03:25,5
104;0,3902;A AC;19.01.22 8:03:25,5;0:00:03,2;19.01.22 8:03:25,5;0,3902;A AC;0,25198125;A AC;19.01.22 8:03:26,2;0,1479;A AC;Unstable;19.01.22 8:03:28,7
105;0,3694;A AC;19.01.22 8:03:28,7;0:00:01,1;19.01.22 8:03:29,5;0,3903;A AC;0,384118181818182;A AC;19.01.22 8:03:28,7;0,3694;A AC;Stable;19.01.22 8:03:29,9
106;0,3904;A AC;19.01.22 8:03:29,9;0:00:00,6;19.01.22 8:03:30,3;0,3905;A AC;0,388883333333333;A AC;19.01.22 8:03:30,0;0,3856;A AC;Interval;19.01.22 8:03:30,5
