Configurations,Start Time,Stop Time
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:58:48 CET 2022, Tue Jan 18 08:58:53 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:58:53 CET 2022, Tue Jan 18 08:58:58 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:58:58 CET 2022, Tue Jan 18 08:59:02 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:02 CET 2022, Tue Jan 18 08:59:07 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:07 CET 2022, Tue Jan 18 08:59:12 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:12 CET 2022, Tue Jan 18 08:59:16 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:16 CET 2022, Tue Jan 18 08:59:21 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:21 CET 2022, Tue Jan 18 08:59:26 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:26 CET 2022, Tue Jan 18 08:59:30 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:30 CET 2022, Tue Jan 18 08:59:35 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:35 CET 2022, Tue Jan 18 08:59:40 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:40 CET 2022, Tue Jan 18 08:59:45 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:45 CET 2022, Tue Jan 18 08:59:49 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:49 CET 2022, Tue Jan 18 08:59:54 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:54 CET 2022, Tue Jan 18 08:59:59 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 08:59:59 CET 2022, Tue Jan 18 09:00:04 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:04 CET 2022, Tue Jan 18 09:00:09 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:09 CET 2022, Tue Jan 18 09:00:14 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:14 CET 2022, Tue Jan 18 09:00:18 CET 2022
