Configurations,Start Time,Stop Time
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:50 CET 2022, Wed Jan 19 08:12:54 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:54 CET 2022, Wed Jan 19 08:12:59 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:59 CET 2022, Wed Jan 19 08:13:03 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:03 CET 2022, Wed Jan 19 08:13:08 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:08 CET 2022, Wed Jan 19 08:13:13 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:13 CET 2022, Wed Jan 19 08:13:17 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:17 CET 2022, Wed Jan 19 08:13:22 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:22 CET 2022, Wed Jan 19 08:13:27 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:27 CET 2022, Wed Jan 19 08:13:31 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:31 CET 2022, Wed Jan 19 08:13:36 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:36 CET 2022, Wed Jan 19 08:13:41 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:41 CET 2022, Wed Jan 19 08:13:46 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:46 CET 2022, Wed Jan 19 08:13:50 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:50 CET 2022, Wed Jan 19 08:13:55 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:13:55 CET 2022, Wed Jan 19 08:14:00 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:00 CET 2022, Wed Jan 19 08:14:05 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:05 CET 2022, Wed Jan 19 08:14:10 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:10 CET 2022, Wed Jan 19 08:14:14 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:14 CET 2022, Wed Jan 19 08:14:19 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:19 CET 2022, Wed Jan 19 08:14:24 CET 2022
