Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
88;0,348;A AC;18.01.22 8:51:43,7;0:00:01,1;18.01.22 8:51:43,7;0,348;A AC;0,229145454545455;A AC;18.01.22 8:51:44,1;0,1501;A AC;Unstable;18.01.22 8:51:44,8
89;0,2316;A AC;18.01.22 8:51:44,8;0:00:00,5;18.01.22 8:51:44,9;0,2455;A AC;0,23754;A AC;18.01.22 8:51:44,8;0,2316;A AC;Interval;18.01.22 8:51:45,3
90;0,2273;A AC;18.01.22 8:51:45,3;0:00:01,3;18.01.22 8:51:46,5;0,3544;A AC;0,241523076923077;A AC;18.01.22 8:51:45,5;0,2014;A AC;Unstable;18.01.22 8:51:46,6
91;0,3751;A AC;18.01.22 8:51:46,6;0:00:01,9;18.01.22 8:51:47,6;0,3858;A AC;0,382763157894737;A AC;18.01.22 8:51:46,6;0,3751;A AC;Stable;18.01.22 8:51:48,5
92;0,3089;A AC;18.01.22 8:51:48,5;0:00:01,3;18.01.22 8:51:48,5;0,3089;A AC;0,219838461538462;A AC;18.01.22 8:51:48,8;0,1446;A AC;Unstable;18.01.22 8:51:49,8
93;0,2249;A AC;18.01.22 8:51:49,8;0:00:00,5;18.01.22 8:51:49,9;0,2366;A AC;0,2285;A AC;18.01.22 8:51:50,2;0,2216;A AC;Interval;18.01.22 8:51:50,3
94;0,2278;A AC;18.01.22 8:51:50,3;0:00:01,1;18.01.22 8:51:51,3;0,3552;A AC;0,246245454545455;A AC;18.01.22 8:51:51,1;0,1992;A AC;Unstable;18.01.22 8:51:51,4
95;0,3732;A AC;18.01.22 8:51:51,4;0:00:01,9;18.01.22 8:51:53,0;0,3857;A AC;0,382505263157895;A AC;18.01.22 8:51:51,4;0,3732;A AC;Stable;18.01.22 8:51:53,4
96;0,2966;A AC;18.01.22 8:51:53,4;0:00:01,9;18.01.22 8:51:53,4;0,2966;A AC;0,225336842105263;A AC;18.01.22 8:51:53,7;0,1445;A AC;Unstable;18.01.22 8:51:55,3
97;0,253;A AC;18.01.22 8:51:55,3;0:00:00,1;18.01.22 8:51:55,3;0,253;A AC;0,253;A AC;18.01.22 8:51:55,3;0,253;A AC;Interval;18.01.22 8:51:55,4
98;0,2457;A AC;18.01.22 8:51:55,4;0:00:00,8;18.01.22 8:51:56,1;0,3263;A AC;0,2419;A AC;18.01.22 8:51:55,8;0,2208;A AC;Unstable;18.01.22 8:51:56,2
99;0,3638;A AC;18.01.22 8:51:56,2;0:00:02,0;18.01.22 8:51:58,0;0,3864;A AC;0,382545;A AC;18.01.22 8:51:56,2;0,3638;A AC;Stable;18.01.22 8:51:58,2
100;0,2894;A AC;18.01.22 8:51:58,2;0:00:01,8;18.01.22 8:51:58,2;0,2894;A AC;0,22355;A AC;18.01.22 8:51:58,5;0,146;A AC;Unstable;18.01.22 8:52:00,0
101;0,2396;A AC;18.01.22 8:52:00,0;0:00:00,4;18.01.22 8:52:00,1;0,2474;A AC;0,240175;A AC;18.01.22 8:52:00,3;0,2322;A AC;Interval;18.01.22 8:52:00,4
102;0,2314;A AC;18.01.22 8:52:00,4;0:00:00,6;18.01.22 8:52:00,9;0,3569;A AC;0,2589;A AC;18.01.22 8:52:00,6;0,2204;A AC;Unstable;18.01.22 8:52:01,0
103;0,3779;A AC;18.01.22 8:52:01,0;0:00:01,9;18.01.22 8:52:02,5;0,3874;A AC;0,3833;A AC;18.01.22 8:52:02,8;0,3659;A AC;Stable;18.01.22 8:52:02,9
104;0,2915;A AC;18.01.22 8:52:02,9;0:00:02,3;18.01.22 8:52:02,9;0,2915;A AC;0,22835652173913;A AC;18.01.22 8:52:03,2;0,1423;A AC;Unstable;18.01.22 8:52:05,2
105;0,2286;A AC;18.01.22 8:52:05,2;0:00:00,1;18.01.22 8:52:05,2;0,2286;A AC;0,2286;A AC;18.01.22 8:52:05,2;0,2286;A AC;Interval;18.01.22 8:52:05,3
106;0,222;A AC;18.01.22 8:52:05,3;0:00:00,4;18.01.22 8:52:05,6;0,3281;A AC;0,247725;A AC;18.01.22 8:52:05,4;0,2199;A AC;Unstable;18.01.22 8:52:05,7
107;0,3629;A AC;18.01.22 8:52:05,7;0:00:01,9;18.01.22 8:52:07,1;0,386;A AC;0,382126315789474;A AC;18.01.22 8:52:05,7;0,3629;A AC;Stable;18.01.22 8:52:07,6
108;0,326;A AC;18.01.22 8:52:07,6;0:00:02,4;18.01.22 8:52:07,6;0,326;A AC;0,2305625;A AC;18.01.22 8:52:07,9;0,1483;A AC;Unstable;18.01.22 8:52:10,1
109;0,222;A AC;18.01.22 8:52:10,1;0:00:00,3;18.01.22 8:52:10,3;0,2374;A AC;0,228433333333333;A AC;18.01.22 8:52:10,1;0,222;A AC;Interval;18.01.22 8:52:10,4
110;0,3286;A AC;18.01.22 8:52:10,4;0:00:00,1;18.01.22 8:52:10,4;0,3286;A AC;0,3286;A AC;18.01.22 8:52:10,4;0,3286;A AC;Unstable;18.01.22 8:52:10,5
111;0,3651;A AC;18.01.22 8:52:10,5;0:00:01,9;18.01.22 8:52:11,9;0,3863;A AC;0,381615789473684;A AC;18.01.22 8:52:12,3;0,3553;A AC;Stable;18.01.22 8:52:12,4
112;0,2794;A AC;18.01.22 8:52:12,4;0:00:02,8;18.01.22 8:52:15,1;0,3556;A AC;0,232696428571429;A AC;18.01.22 8:52:12,6;0,1533;A AC;Unstable;18.01.22 8:52:15,2
113;0,3787;A AC;18.01.22 8:52:15,2;0:00:00,2;18.01.22 8:52:15,3;0,3807;A AC;0,3797;A AC;18.01.22 8:52:15,2;0,3787;A AC;Interval;18.01.22 8:52:15,4
114;0,3856;A AC;18.01.22 8:52:15,4;0:00:01,9;18.01.22 8:52:15,5;0,3875;A AC;0,384915789473684;A AC;18.01.22 8:52:16,0;0,38;A AC;Stable;18.01.22 8:52:17,3
115;0,3377;A AC;18.01.22 8:52:17,3;0:00:01,1;18.01.22 8:52:17,3;0,3377;A AC;0,226718181818182;A AC;18.01.22 8:52:17,6;0,1492;A AC;Unstable;18.01.22 8:52:18,4
116;0,2297;A AC;18.01.22 8:52:18,4;0:00:01,5;18.01.22 8:52:19,2;0,2504;A AC;0,23406;A AC;18.01.22 8:52:19,8;0,2217;A AC;Stable;18.01.22 8:52:19,9
117;0,2095;A AC;18.01.22 8:52:19,9;0:00:00,3;18.01.22 8:52:20,1;0,353;A AC;0,280966666666667;A AC;18.01.22 8:52:19,9;0,2095;A AC;Unstable;18.01.22 8:52:20,2
118;0,3746;A AC;18.01.22 8:52:20,2;0:00:00,1;18.01.22 8:52:20,2;0,3746;A AC;0,3746;A AC;18.01.22 8:52:20,2;0,3746;A AC;Interval;18.01.22 8:52:20,3
119;0,3789;A AC;18.01.22 8:52:20,3;0:00:01,8;18.01.22 8:52:20,9;0,3866;A AC;0,384122222222222;A AC;18.01.22 8:52:20,3;0,3789;A AC;Stable;18.01.22 8:52:22,1
120;0,3188;A AC;18.01.22 8:52:22,1;0:00:02,8;18.01.22 8:52:22,1;0,3188;A AC;0,231767857142857;A AC;18.01.22 8:52:22,4;0,1455;A AC;Unstable;18.01.22 8:52:24,9
121;0,3655;A AC;18.01.22 8:52:24,9;0:00:00,4;18.01.22 8:52:25,2;0,3869;A AC;0,379;A AC;18.01.22 8:52:24,9;0,3655;A AC;Interval;18.01.22 8:52:25,3
122;0,3875;A AC;18.01.22 8:52:25,3;0:00:01,7;18.01.22 8:52:26,9;0,3877;A AC;0,385782352941176;A AC;18.01.22 8:52:27,0;0,3758;A AC;Stable;18.01.22 8:52:27,1
123;0,2992;A AC;18.01.22 8:52:27,1;0:00:01,0;18.01.22 8:52:27,1;0,2992;A AC;0,22017;A AC;18.01.22 8:52:27,4;0,1461;A AC;Unstable;18.01.22 8:52:28,1
124;0,231;A AC;18.01.22 8:52:28,1;0:00:01,5;18.01.22 8:52:29,0;0,2527;A AC;0,2346;A AC;18.01.22 8:52:29,5;0,2208;A AC;Stable;18.01.22 8:52:29,6
125;0,218;A AC;18.01.22 8:52:29,6;0:00:00,3;18.01.22 8:52:29,8;0,3519;A AC;0,2781;A AC;18.01.22 8:52:29,6;0,218;A AC;Unstable;18.01.22 8:52:29,9
126;0,3757;A AC;18.01.22 8:52:29,9;0:00:00,5;18.01.22 8:52:30,2;0,3881;A AC;0,38346;A AC;18.01.22 8:52:29,9;0,3757;A AC;Interval;18.01.22 8:52:30,4
127;0,3855;A AC;18.01.22 8:52:30,4;0:00:01,6;18.01.22 8:52:31,4;0,3874;A AC;0,38596875;A AC;18.01.22 8:52:31,9;0,3815;A AC;Stable;18.01.22 8:52:32,0
